,task-clock,context-switches,cpu-migrations,page-faults,cycles,instructions,branches,branch-misses,stalled-cycles-frontend,stalled-cycles-backend,eu_stall,if_stall,id_stall,ib_stall,benchmark,first instruction,second instruction,file name
875,10003.96,0.0,0.0,0.0,16006207294.0,31968535652.0,500027.0,2155.0,12360247.0,4746572.0,4442766.0,3529120.0,829789.0,35915.0,i-results,SUB_V0,SUB_V0,SUB_V0_SUB_V0-10
876,10003.88,2.0,0.0,0.0,16006078689.0,31967699108.0,531005.0,4340.0,13397898.0,3949676.0,2994827.0,4455171.0,734044.0,37164.0,i-results,SUB_V0,XORI_V0,SUB_V0_XORI_V0-10
877,9980.98,332.0,0.0,0.0,15973492829.0,31871125851.0,991766.0,82465.0,19489042.0,7830458.0,8239648.0,8878055.0,1411653.0,81708.0,i-results,SUB_V0,XOR_V0,SUB_V0_XOR_V0-10
878,10003.83,3.0,0.0,0.0,16005959040.0,31966732735.0,559656.0,5007.0,12839634.0,4827281.0,4498627.0,3877390.0,839759.0,40242.0,i-results,XORI_V0,ADDI_V0,XORI_V0_ADDI_V0-10
879,9983.55,335.0,0.0,0.0,15977665700.0,31882501662.0,990541.0,75597.0,18665921.0,7128493.0,7570640.0,8297400.0,1299457.0,76131.0,i-results,XORI_V0,ANDI_V0,XORI_V0_ANDI_V0-10
880,10003.41,13.0,0.0,0.0,16005324382.0,26637511948.0,536946.0,8398.0,2676919861.0,5297282.0,4550530.0,4291511.0,946508.0,38800.0,i-results,XORI_V0,AUIPC_V0,XORI_V0_AUIPC_V0-10
881,10003.95,0.0,0.0,0.0,16006194103.0,31968439695.0,525810.0,2300.0,12986501.0,4140517.0,3223515.0,4100648.0,600400.0,38565.0,i-results,XORI_V0,MULW_V0,XORI_V0_MULW_V0-10
882,10003.8,4.0,0.0,0.0,16005939020.0,10671079029.0,556935.0,5280.0,4549098.0,5333007532.0,10759937302.0,4170923.0,769673.0,39750.0,i-results,XORI_V0,MUL_V0,XORI_V0_MUL_V0-10
883,10003.97,0.0,0.0,0.0,16006219704.0,31968603261.0,498941.0,2240.0,12249962.0,4839449.0,4419782.0,3400444.0,840731.0,36295.0,i-results,XORI_V0,ORI_V0,XORI_V0_ORI_V0-10
884,9982.33,323.0,0.0,0.0,15975537589.0,10649517237.0,979681.0,78350.0,9952414.0,5319111450.0,10637189747.0,8889296.0,1474585.0,79427.0,i-results,XORI_V0,REMUW_V0,XORI_V0_REMUW_V0-10
885,9934.58,1565.0,0.0,0.0,15915354456.0,7976884885.0,2534103.0,234933.0,17336919.0,7927300681.0,23645395341.0,13862283.0,2675980.0,261767.0,i-results,MULH_V0,SRAI_V0,MULH_V0_SRAI_V0-10
886,10003.51,11.0,0.0,0.0,16005523700.0,31964621698.0,536088.0,7544.0,13014308.0,5182213.0,4827628.0,4086495.0,864247.0,38697.0,i-results,XORI_V0,SLLI_V0,XORI_V0_SLLI_V0-10
887,10003.9,2.0,0.0,0.0,16006166696.0,8004975205.0,513105.0,3811.0,4648479.0,7999616795.0,23924479053.0,4542462.0,702842.0,36303.0,i-results,MULH_V0,SRAW_V0,MULH_V0_SRAW_V0-10
888,10003.91,1.0,0.0,0.0,16006111853.0,31967672299.0,513992.0,4770.0,13219467.0,4202999.0,3039551.0,4295109.0,842235.0,37047.0,i-results,XORI_V0,SLL_V0,XORI_V0_SLL_V0-10
889,10003.94,0.0,0.0,0.0,16006162347.0,31968684772.0,498767.0,2154.0,12301897.0,4710386.0,4411166.0,3463783.0,870812.0,35847.0,i-results,XORI_V0,SLTI_V0,XORI_V0_SLTI_V0-10
890,10003.41,12.0,0.0,0.0,16005371597.0,31964422469.0,537847.0,8256.0,12952808.0,5171152.0,4897929.0,4024670.0,894042.0,39305.0,i-results,XORI_V0,SRAW_V0,XORI_V0_SRAW_V0-10
891,9936.27,1547.0,0.0,0.0,15918280020.0,31696920469.0,2515801.0,237065.0,26611027.0,14175584.0,16701120.0,13242176.0,2828224.0,249188.0,i-results,XORI_V0,SRL_V0,XORI_V0_SRL_V0-10
892,9983.98,318.0,0.0,0.0,15978158297.0,31881489708.0,969030.0,74441.0,19284749.0,7737751.0,7984782.0,8842527.0,1466324.0,77785.0,i-results,XORI_V0,XORI_V0,XORI_V0_XORI_V0-10
893,10004.0,0.0,0.0,0.0,16006269272.0,31968129214.0,513971.0,3933.0,12974215.0,4382806.0,3180725.0,4068304.0,890040.0,36381.0,i-results,XORI_V0,XOR_V0,XORI_V0_XOR_V0-10
